"","realprice1","realprice2","realprice3","realprice4","br1","br2","br3","br4","residual.price.1","residual.price.2","residual.price.3","residual.price.4","min.dist.honda","min.dist.nissan","min.dist.toyota","min.dist.vw","DIST10.honda","DIST10.nissan","DIST10.toyota","DIST10.vw","TRADEMANUFACTURER","TRADENAME","TRADEMODEL","TRADEORIGIN","TRADEBODYTP","TRADECYLINDER","CUSTLATITUDE","CUSTLONGITUDE","ZIPCODE","brand"
"2104",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,1,0,0,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,5.6691359713681,1.12991254111306,2.47892116287353,6.27728462572523,31.4175694511722,113.822731857728,117.945822723251,117.443084353931,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",34.118041,-118.36371,90046,4
"2105",9.8932048395,9.8693101006103,9.88547632,10.2056577216,1,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,4.79720090499853,8.45525186904369,7.71361885203511,8.67229662264759,29.3087183615416,111.494906177784,105.215103636805,100.955885303633,"Honda","Honda","CR-V","Asian","Sport Utility","4 Cyl",33.782842,-118.385192,90275,1
"2106",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,1,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,4.38882595774699,12.085275105855,0.988900655451226,5.87528133482374,28.72756228643,95.8440057602957,94.8609341641442,94.309531802607,"Nissan","Nissan","Stanza","Asian","Sedan","4 Cyl",33.862489,-118.080884,90701,1
"2107",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,0,1,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,7.12111277061822,12.3764018492685,7.04526541527387,1.93192054117174,32.3536990487325,98.4273278085928,97.8474677125315,91.0017098415645,"Volkswagen","Volkswagen","Jetta","European","Sedan","4 Cyl",33.764166,-118.139456,90803,1
"2108",9.8932048395,9.8693101006103,9.88547632,10.2056577216,1,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,13.659242434071,12.3759723550082,6.67215828786095,7.36920984527621,27.9906434153823,96.2905395958016,107.430674362467,106.503947453309,"Honda","Honda","Accord","Asian","Sedan","6 Cyl",34.102544,-118.026163,91780,1
"2109",9.8932048395,9.8693101006103,9.88547632,10.2056577216,1,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,7.17652444379048,8.98257259035064,22.4247110853873,13.5052189327197,48.1044146181827,73.6274677737119,81.3508156114776,79.6805449926829,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",33.876801,-117.44669,92503,1
"2110",9.8932048395,9.8693101006103,9.88547632,10.2056577216,1,0,0,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,0.514238716681331,7.25442128620418,7.30260215429189,7.99394846357078,36.903854832887,93.3813305678878,93.7148080673278,86.0581469001583,"Honda","Honda","Accord","Asian","Coupe","4 Cyl",33.761064,-117.99754,92683,1
"2111",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,1,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,2.01169374802314,1.8771553080773,8.96982593941695,15.9516190333968,44.6675730509464,97.5401388532111,97.8517345493038,77.0051817966167,"Toyota","Toyota","Tercel","Asian","Coupe","4 Cyl",33.64987,-117.905712,92627,1
"2112",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,1,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,4.39787650334824,9.80502416658722,4.4559963499565,2.71802673016085,30.2761826412283,101.201206166532,98.7333667663997,93.5567816858651,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",33.778458,-118.191024,90813,1
"2113",9.8932048395,9.8693101006103,9.88547632,10.2056577216,0,0,1,0,-0.603208278718055,0.58363876348302,-0.0611258450322708,1.89263069895237,5.66034925105073,11.0996033714462,2.52993351718333,7.70963269664661,26.4327693133128,97.0163913962608,97.374049079837,96.7972697336056,"Toyota","Toyota","Tacoma","Asian","Pickup","6 Cyl",33.897984,-118.097413,90650,3
